"10540: Registrerte arbeidsledige (prosent), etter alder, måned, statistikkvariabel og region"

"alder";"måned";"statistikkvariabel";"1101 Eigersund";"1102 Sandnes (-2019)";"1103 Stavanger";"1106 Haugesund";"1111 Sokndal";"1112 Lund";"1114 Bjerkreim";"1119 Hå";"1120 Klepp";"1121 Time";"1122 Gjesdal";"1124 Sola";"1127 Randaberg";"1129 Forsand (-2019)";"1130 Strand";"1133 Hjelmeland";"1134 Suldal";"1135 Sauda";"1141 Finnøy (-2019)";"1142 Rennesøy (-2019)";"1144 Kvitsøy";"1145 Bokn";"1146 Tysvær";"1149 Karmøy";"1151 Utsira";"1154 Vindafjord (1965-2005)";"1199 Uoppgitt kommune Rogaland"
"15-74 år";"1999M01";"Registrert helt arbeidsledige";1.5;2.2;2.6;2.5;2.7;1.0;0.8;1.0;1.3;1.3;1.3;1.7;1.1;1.7;1.6;1.0;1.9;4.4;0.8;1.2;1.5;0.2;1.5;2.7;0.0;1.4;.
"15-74 år";"1999M02";"Registrert helt arbeidsledige";1.5;2.2;2.5;2.6;2.2;1.2;1.4;0.9;1.3;1.3;1.2;1.6;1.0;1.3;1.8;1.0;1.4;3.7;0.8;0.9;0.4;0.9;1.5;2.5;4.4;1.0;.
"15-74 år";"1999M03";"Registrert helt arbeidsledige";1.3;2.2;2.6;2.4;2.6;0.8;0.8;1.0;1.0;1.3;1.2;1.7;1.1;1.5;1.6;1.2;1.3;4.0;0.8;1.1;1.5;0.2;1.3;2.5;0.0;0.9;.
"15-74 år";"1999M04";"Registrert helt arbeidsledige";1.8;2.1;2.5;2.5;2.1;0.8;1.1;0.9;1.2;1.2;1.0;1.7;1.1;1.5;1.8;1.0;1.1;3.5;0.6;1.2;1.5;0.9;1.3;2.4;0.0;0.9;.
"15-74 år";"1999M05";"Registrert helt arbeidsledige";1.3;2.0;2.3;2.2;1.6;0.8;0.7;0.8;1.1;1.0;1.4;1.5;1.0;0.8;1.4;0.6;0.9;2.7;0.3;0.8;0.8;0.7;1.0;2.0;3.5;0.8;.
"15-74 år";"1999M06";"Registrert helt arbeidsledige";1.4;2.3;2.6;2.6;2.0;0.9;0.8;0.9;1.2;1.3;1.4;1.8;1.1;1.0;1.5;0.6;1.1;4.1;0.4;0.7;1.1;0.7;1.3;2.4;0.0;1.3;.
"15-74 år";"1999M07";"Registrert helt arbeidsledige";2.0;2.7;3.0;3.2;2.3;1.6;0.8;1.0;1.5;1.6;1.4;2.1;1.3;0.8;2.5;1.2;1.1;3.3;0.3;1.2;1.1;0.9;1.9;3.0;5.3;1.1;.
"15-74 år";"1999M08";"Registrert helt arbeidsledige";2.4;2.7;3.2;3.9;2.4;1.3;0.9;1.2;1.3;1.6;1.5;2.1;1.5;1.0;2.2;1.1;0.8;3.3;0.4;1.3;2.6;1.4;1.9;3.2;0.0;1.4;.
"15-74 år";"1999M09";"Registrert helt arbeidsledige";1.9;2.4;2.9;4.0;1.9;0.9;1.0;1.1;1.2;1.3;1.7;2.1;1.6;1.1;2.1;1.0;1.3;3.2;0.6;0.9;2.3;0.9;1.8;3.4;1.8;1.2;.
"15-74 år";"1999M10";"Registrert helt arbeidsledige";1.6;2.4;3.0;4.1;2.0;0.8;0.4;1.2;1.3;1.3;1.5;2.0;1.5;1.3;2.4;0.9;1.5;4.0;0.8;0.8;1.9;2.4;1.8;3.4;0.0;1.4;.
"15-74 år";"1999M11";"Registrert helt arbeidsledige";1.5;2.5;2.9;3.9;2.0;1.1;0.6;1.2;1.3;1.3;1.3;2.0;1.6;1.1;2.1;0.7;1.6;4.2;0.8;1.1;1.5;1.7;1.8;3.4;0.0;1.6;.
"15-74 år";"1999M12";"Registrert helt arbeidsledige";1.6;2.4;3.0;4.1;2.0;0.9;0.9;1.3;1.4;1.3;1.6;2.2;1.4;1.5;3.7;0.8;1.6;3.9;1.2;1.1;2.6;0.9;2.3;3.6;1.8;2.1;.
"15-74 år";"2000M01";"Registrert helt arbeidsledige";2.1;2.9;3.4;5.2;2.8;1.6;1.4;1.5;1.7;1.8;2.0;2.5;1.9;1.5;3.1;1.9;1.7;4.7;1.7;1.7;2.0;4.4;2.7;4.3;2.4;2.2;.
"15-74 år";"2000M02";"Registrert helt arbeidsledige";1.9;2.7;3.2;4.9;3.7;1.8;1.3;1.4;1.7;1.6;2.0;2.4;1.6;1.1;2.8;1.3;1.5;3.7;1.4;1.1;2.0;2.7;2.7;4.1;0.8;2.5;.
"15-74 år";"2000M03";"Registrert helt arbeidsledige";2.0;2.6;3.3;4.8;3.3;1.6;1.0;1.3;1.6;1.6;1.9;2.3;1.8;2.0;2.6;1.4;1.9;3.7;1.0;1.3;2.4;2.4;2.8;4.0;0.0;1.8;.
"15-74 år";"2000M04";"Registrert helt arbeidsledige";2.7;2.7;3.5;4.1;2.7;1.6;1.0;1.4;1.4;1.5;2.1;2.1;1.7;1.9;2.4;1.5;1.4;3.2;1.2;1.9;2.4;2.0;2.8;3.5;2.4;1.8;.
"15-74 år";"2000M05";"Registrert helt arbeidsledige";2.6;2.8;3.6;4.6;2.4;1.6;1.1;1.3;1.5;1.6;1.8;2.1;1.6;1.5;2.6;1.5;1.8;4.5;1.4;1.4;2.0;2.7;2.8;3.6;1.6;1.8;.
"15-74 år";"2000M06";"Registrert helt arbeidsledige";3.3;2.8;3.9;4.5;3.7;2.0;1.7;1.7;1.8;1.6;1.9;2.4;2.0;1.3;2.9;1.0;1.5;2.8;1.1;1.7;2.0;2.4;2.9;3.5;1.6;1.5;.
"15-74 år";"2000M07";"Registrert helt arbeidsledige";4.9;3.1;4.1;5.1;4.4;2.3;1.4;1.8;1.7;2.3;2.1;2.7;2.2;1.7;3.0;1.7;1.6;2.9;1.7;1.3;1.2;2.0;3.2;4.1;5.6;1.4;.
"15-74 år";"2000M08";"Registrert helt arbeidsledige";3.7;3.2;4.2;5.0;4.4;1.9;1.7;1.8;2.0;2.2;2.2;2.5;2.1;2.4;3.0;1.0;1.6;3.5;2.1;1.4;1.6;2.4;3.2;3.8;0.8;1.8;.
"15-74 år";"2000M09";"Registrert helt arbeidsledige";3.1;3.1;4.0;4.7;4.4;1.5;1.5;1.9;1.9;2.0;2.0;2.4;2.0;2.2;2.6;0.8;1.7;3.2;1.7;1.3;1.6;2.4;3.0;4.1;0.8;1.5;.
"15-74 år";"2000M10";"Registrert helt arbeidsledige";2.6;3.1;4.0;4.9;4.3;1.4;1.4;2.4;2.0;2.0;2.1;2.5;1.7;2.4;3.0;1.0;1.5;3.0;1.4;1.7;3.2;2.4;3.2;4.3;0.0;1.3;.
"15-74 år";"2000M11";"Registrert helt arbeidsledige";2.6;3.2;3.8;5.0;4.4;1.6;1.5;2.3;3.7;4.8;2.7;2.4;1.8;1.9;3.0;1.1;1.8;3.5;2.0;1.5;3.5;1.7;2.9;4.5;0.0;1.7;.
"15-74 år";"2000M12";"Registrert helt arbeidsledige";3.0;3.3;3.9;5.1;4.5;1.8;1.4;2.1;3.2;4.0;2.6;2.5;2.0;2.4;3.7;1.4;1.6;4.2;1.6;2.1;4.3;2.2;3.0;4.4;0.0;1.9;.
"15-74 år";"2001M01";"Registrert helt arbeidsledige";2.8;3.3;4.1;5.5;4.3;2.1;1.4;2.0;2.4;2.1;2.3;2.6;2.1;1.9;3.9;2.0;2.6;4.2;1.4;1.8;3.3;2.5;3.7;4.9;1.5;2.3;.
"15-74 år";"2001M02";"Registrert helt arbeidsledige";2.6;3.1;3.7;4.9;4.1;1.7;1.4;1.6;2.0;1.9;2.0;2.5;1.8;1.7;3.5;1.2;2.2;4.4;1.3;1.6;4.4;2.8;3.5;4.5;0.8;1.6;.
"15-74 år";"2001M03";"Registrert helt arbeidsledige";2.6;3.1;3.5;4.6;3.9;1.5;1.1;1.7;1.9;1.8;1.9;2.4;1.4;2.3;3.1;1.4;1.9;3.8;1.1;1.5;3.3;2.5;3.0;4.1;0.8;1.2;.
"15-74 år";"2001M04";"Registrert helt arbeidsledige";2.7;2.8;3.3;4.1;3.7;1.1;1.2;1.4;1.5;1.3;1.7;2.0;1.5;1.3;2.7;1.2;1.7;3.4;1.0;1.3;2.2;2.3;2.8;3.8;0.0;1.1;.
"15-74 år";"2001M05";"Registrert helt arbeidsledige";2.3;2.6;3.1;4.0;3.5;1.3;1.1;1.3;1.4;1.2;1.5;2.0;1.5;1.9;2.0;0.6;1.6;3.4;0.7;1.0;2.9;3.0;2.6;3.4;0.0;1.0;.
"15-74 år";"2001M06";"Registrert helt arbeidsledige";2.1;2.6;3.2;4.4;3.3;1.5;1.3;1.2;1.4;1.2;1.5;2.0;1.6;2.1;2.1;0.8;1.9;5.9;1.0;0.8;2.6;2.3;3.0;3.7;0.0;0.9;.
"15-74 år";"2001M07";"Registrert helt arbeidsledige";2.7;2.7;3.5;4.7;3.0;2.0;1.5;1.4;1.7;1.5;1.7;2.4;1.7;2.3;2.7;0.8;1.8;3.5;1.2;1.2;2.9;2.5;2.9;3.8;2.3;1.0;.
"15-74 år";"2001M08";"Registrert helt arbeidsledige";2.6;2.9;3.7;4.8;3.2;1.6;1.2;1.4;1.8;1.6;1.9;2.5;1.7;2.4;2.8;0.8;1.9;4.0;1.5;1.2;2.6;2.3;2.7;4.3;1.5;1.2;.
"15-74 år";"2001M09";"Registrert helt arbeidsledige";2.2;2.8;3.7;4.5;3.4;1.8;1.3;1.3;1.6;1.9;2.0;2.6;1.8;1.5;2.5;1.0;2.2;3.7;1.2;1.4;2.6;2.0;2.6;3.8;1.5;1.2;.
"15-74 år";"2001M10";"Registrert helt arbeidsledige";2.0;2.9;3.6;4.4;2.8;1.5;1.1;1.2;1.7;2.0;2.1;2.3;1.7;1.3;2.6;1.0;2.1;3.3;1.3;1.6;2.9;2.0;2.7;3.8;2.3;1.1;.
"15-74 år";"2001M11";"Registrert helt arbeidsledige";2.0;3.0;3.6;4.4;3.3;2.1;1.3;1.3;2.0;1.9;1.7;2.3;1.8;1.3;2.8;1.5;2.1;3.7;1.5;2.0;1.8;1.5;2.9;3.7;3.0;1.2;.
"15-74 år";"2001M12";"Registrert helt arbeidsledige";2.1;3.0;3.7;4.4;3.9;1.9;1.2;1.3;2.0;1.8;1.9;2.4;1.8;1.9;2.9;1.6;1.4;3.9;1.4;2.1;1.8;1.8;3.1;3.9;2.3;1.5;.
"15-74 år";"2002M01";"Registrert helt arbeidsledige";2.3;3.5;4.1;4.9;4.5;2.1;1.3;1.7;2.3;1.9;2.2;2.8;2.3;1.8;3.6;2.5;1.6;4.1;1.6;2.8;2.2;2.5;3.6;4.7;3.2;1.8;.
"15-74 år";"2002M02";"Registrert helt arbeidsledige";2.2;3.1;3.8;4.6;4.2;1.5;1.1;1.5;2.1;2.1;1.9;2.8;2.0;1.8;3.7;1.4;1.4;3.6;1.5;2.6;2.6;2.5;3.2;4.2;7.3;1.4;.
"15-74 år";"2002M03";"Registrert helt arbeidsledige";2.1;3.1;3.8;4.7;3.7;1.7;1.2;1.4;2.2;2.0;2.1;2.8;2.1;1.6;3.6;1.7;1.4;3.4;1.2;2.1;2.6;2.3;3.3;4.0;3.2;1.6;.
"15-74 år";"2002M04";"Registrert helt arbeidsledige";2.3;3.0;3.8;4.4;3.0;1.4;1.1;1.4;2.0;1.9;2.1;2.6;1.8;1.2;3.0;2.0;2.1;3.5;1.4;1.6;3.4;1.8;2.8;3.8;7.3;1.4;.
"15-74 år";"2002M05";"Registrert helt arbeidsledige";2.0;2.9;3.7;4.3;2.7;1.2;1.1;1.2;1.8;1.9;1.8;2.6;1.9;1.8;3.0;2.2;1.5;10.7;1.2;1.3;3.0;2.3;2.5;3.6;5.7;1.3;.
"15-74 år";"2002M06";"Registrert helt arbeidsledige";1.7;2.9;3.9;4.4;2.7;1.1;1.1;1.3;1.9;1.9;1.8;2.6;2.3;1.6;3.1;1.5;1.6;3.7;0.8;1.4;3.0;2.0;2.6;3.9;4.8;1.3;.
"15-74 år";"2002M07";"Registrert helt arbeidsledige";2.4;3.3;4.3;4.9;3.7;1.8;1.1;1.6;2.1;2.3;2.2;3.0;2.4;1.8;3.6;1.3;1.6;3.9;1.2;1.8;2.2;2.0;3.2;4.4;4.8;1.4;.
"15-74 år";"2002M08";"Registrert helt arbeidsledige";2.4;3.4;4.4;4.6;3.4;1.8;1.5;1.7;2.1;2.3;2.2;3.3;2.2;2.1;3.5;1.5;1.7;3.4;1.0;1.6;3.4;2.5;2.8;4.2;3.2;1.5;.
"15-74 år";"2002M09";"Registrert helt arbeidsledige";2.1;3.2;4.1;4.4;3.0;1.8;1.2;1.8;2.1;2.1;1.8;3.3;2.1;3.1;3.1;1.6;1.7;3.4;1.3;1.5;1.9;1.8;2.6;3.8;7.3;1.5;.
"15-74 år";"2002M10";"Registrert helt arbeidsledige";2.1;3.3;4.2;4.2;3.4;1.6;1.4;1.7;2.0;2.0;2.3;3.1;2.3;2.7;3.4;2.8;1.9;3.6;1.6;1.6;2.2;2.3;2.7;3.9;5.7;1.3;.
"15-74 år";"2002M11";"Registrert helt arbeidsledige";3.0;3.2;4.2;4.3;3.9;1.8;1.7;1.4;1.9;2.2;2.5;3.3;2.5;2.5;3.8;1.8;1.9;3.6;1.4;1.6;1.5;2.3;2.7;3.7;4.8;1.5;.
"15-74 år";"2002M12";"Registrert helt arbeidsledige";2.9;3.3;4.2;4.3;4.1;1.5;1.8;1.6;2.0;2.1;2.7;3.1;2.6;2.3;4.8;1.8;1.8;3.3;1.5;1.6;1.5;2.5;2.8;4.1;2.4;1.3;.
"15-29 år";"1999M01";"Registrert helt arbeidsledige";2.0;2.8;3.2;2.7;5.0;1.7;1.5;1.2;2.5;2.0;1.8;1.8;1.4;4.9;2.9;0.9;2.2;6.0;0.0;1.5;0.0;0.0;2.1;3.2;0.0;1.6;.
"15-29 år";"1999M02";"Registrert helt arbeidsledige";1.8;2.7;3.0;3.3;3.8;1.5;1.9;1.1;2.2;1.9;1.4;1.5;1.0;2.8;2.9;1.2;1.4;4.6;0.3;0.6;0.0;0.7;2.1;3.1;3.1;1.3;.
"15-29 år";"1999M03";"Registrert helt arbeidsledige";1.7;2.5;3.0;2.8;5.0;1.5;1.0;1.4;1.5;2.2;1.5;1.7;1.3;3.5;2.4;1.2;1.4;4.1;0.8;1.1;1.5;0.0;1.6;2.9;0.0;1.3;.
"15-29 år";"1999M04";"Registrert helt arbeidsledige";2.5;2.4;2.9;3.3;4.3;1.3;2.2;1.0;2.0;1.7;1.4;1.7;1.3;3.5;2.8;0.7;1.1;3.5;0.5;1.1;0.0;1.5;1.4;2.7;0.0;1.3;.
"15-29 år";"1999M05";"Registrert helt arbeidsledige";1.7;2.3;2.5;2.8;3.8;1.7;1.0;0.9;1.4;1.2;2.0;1.4;1.0;1.4;1.8;0.2;1.1;2.5;0.3;0.9;0.0;1.5;1.1;2.1;3.1;1.3;.
"15-29 år";"1999M06";"Registrert helt arbeidsledige";1.9;3.0;3.1;3.6;4.3;1.5;1.2;1.0;1.9;2.0;2.0;2.0;1.7;2.1;2.1;0.5;1.3;7.6;0.3;0.4;1.5;1.5;1.7;2.8;0.0;2.4;.
"15-29 år";"1999M07";"Registrert helt arbeidsledige";2.6;3.3;3.5;5.1;4.3;2.1;1.2;1.5;2.3;2.1;2.1;2.8;1.8;1.4;3.3;1.2;1.4;3.8;0.3;2.4;1.5;0.7;2.6;4.1;6.1;1.5;.
"15-29 år";"1999M08";"Registrert helt arbeidsledige";2.9;3.2;4.0;5.3;5.3;1.9;1.2;1.9;2.2;2.1;2.0;2.8;1.9;2.1;4.2;0.9;1.1;4.5;0.5;2.2;1.5;0.7;2.7;4.1;0.0;2.0;.
"15-29 år";"1999M09";"Registrert helt arbeidsledige";2.1;2.8;3.2;5.4;3.8;1.3;1.2;1.9;1.9;1.7;2.6;2.4;1.8;1.4;3.7;0.2;1.4;3.8;1.3;1.1;1.5;1.5;2.5;4.5;3.1;1.1;.
"15-29 år";"1999M10";"Registrert helt arbeidsledige";2.1;2.7;3.5;5.5;4.3;1.1;0.5;1.7;2.0;1.3;2.0;2.4;1.8;2.1;3.7;0.5;1.8;5.1;1.3;1.1;1.5;3.6;2.4;4.1;0.0;1.7;.
"15-29 år";"1999M11";"Registrert helt arbeidsledige";2.0;2.9;3.3;5.3;4.8;1.3;0.5;1.5;2.0;1.7;1.7;2.4;2.0;2.8;3.1;0.2;1.6;5.9;0.8;1.3;0.0;2.2;2.4;4.2;0.0;2.2;.
"15-29 år";"1999M12";"Registrert helt arbeidsledige";2.5;2.7;3.2;5.8;5.5;1.3;1.0;1.8;2.2;1.8;2.0;2.7;1.6;4.2;3.8;0.2;1.4;6.5;1.5;1.3;4.6;0.7;2.7;4.7;3.1;2.4;.
"15-29 år";"2000M01";"Registrert helt arbeidsledige";3.0;3.3;3.9;8.2;5.9;1.5;2.0;2.2;2.6;2.6;2.5;2.8;2.4;3.8;4.6;0.7;2.5;7.8;1.5;2.7;1.7;7.5;3.6;5.7;0.0;2.4;.
"15-29 år";"2000M02";"Registrert helt arbeidsledige";3.3;3.1;3.6;7.7;5.9;2.6;1.7;1.8;2.4;2.0;3.3;2.8;1.6;1.9;4.6;0.9;1.8;5.4;1.3;1.7;1.7;4.2;3.2;5.8;3.0;3.5;.
"15-29 år";"2000M03";"Registrert helt arbeidsledige";2.7;2.9;3.7;7.6;7.2;1.7;1.0;1.5;2.0;1.9;2.8;2.2;1.9;3.1;4.4;1.2;1.9;4.7;1.0;2.1;3.4;4.2;3.6;5.6;0.0;2.2;.
"15-29 år";"2000M04";"Registrert helt arbeidsledige";3.9;3.2;4.0;5.5;6.1;2.0;0.5;1.8;2.1;1.9;3.3;2.3;1.7;3.1;4.2;1.9;1.9;3.9;0.8;2.9;3.4;3.3;4.0;4.4;0.0;2.1;.
"15-29 år";"2000M05";"Registrert helt arbeidsledige";3.6;3.4;4.3;5.9;5.9;2.6;1.0;1.4;2.1;1.9;2.7;2.4;1.6;1.9;4.6;2.1;2.5;9.3;1.5;2.1;3.4;5.0;3.9;5.0;0.0;2.2;.
"15-29 år";"2000M06";"Registrert helt arbeidsledige";4.8;3.7;4.6;5.9;9.0;3.5;2.5;2.4;2.5;2.3;2.8;2.7;2.4;2.5;4.7;1.2;1.9;3.7;1.3;3.1;1.7;4.2;3.8;4.6;3.0;1.9;.
"15-29 år";"2000M07";"Registrert helt arbeidsledige";6.1;4.1;5.1;7.5;9.2;3.5;2.0;2.9;2.5;3.4;3.0;3.1;3.2;1.9;5.1;1.9;2.1;4.1;0.8;1.7;0.0;2.5;4.7;5.7;3.0;1.7;.
"15-29 år";"2000M08";"Registrert helt arbeidsledige";5.1;4.1;5.4;7.1;9.0;2.6;2.5;2.6;2.8;3.4;3.5;3.0;3.5;3.8;4.7;0.9;1.4;5.6;2.8;2.3;0.0;2.5;5.0;5.4;0.0;2.9;.
"15-29 år";"2000M09";"Registrert helt arbeidsledige";4.0;4.1;4.9;6.3;7.9;1.7;2.0;2.6;1.8;2.9;2.6;2.6;3.2;3.1;4.2;0.7;2.3;5.2;1.8;1.5;0.0;1.7;4.3;5.8;0.0;2.2;.
"15-29 år";"2000M10";"Registrert helt arbeidsledige";3.3;3.9;4.8;6.1;7.9;2.0;2.0;3.4;2.6;2.9;2.5;2.5;2.4;3.1;5.0;1.2;1.8;3.2;1.0;1.5;0.0;0.8;4.4;6.2;0.0;1.7;.
